Time,Source,Destination,Protocol,Length,Direction,TransID,UnitID,FuncCode,FuncDesc,response_time,direction_binary,source_encoded,dest_encoded,protocol_encoded,has_response_time,time_dif,anomaly_score,is_anomaly
0.014921540408725372,192.168.1.100,192.168.1.101,Modbus/TCP,0.2857142857142865,Query:,0.917470525187567,0.0,0.5,Read Holding Registers,0.3821942445977659,0.0,0.0,0.16666666666666666,0.0,1.0,0.998034901432577,0.10050838206157146,True
0.01492279855224962,192.168.1.101,192.168.1.100,Modbus/TCP,1.0,Response:,0.917470525187567,0.0,0.5,Read Holding Registers,0.3821942445977659,0.0,0.16666666666666666,0.0,0.0,1.0,8.443313416592317e-05,0.11042085207443036,True
0.014927720684329066,192.168.1.100,192.168.1.104,Modbus/TCP,0.2857142857142865,Query:,0.9285459092533047,0.0,0.5,Read Holding Registers,0.3588129496339938,0.0,0.0,0.6666666666666666,0.0,1.0,0.0003303208499160605,0.1128128920880377,True
0.014929095239709651,192.168.1.104,192.168.1.100,Modbus/TCP,1.0,Response:,0.9285459092533047,0.0,0.5,Read Holding Registers,0.3588129496339938,0.0,0.6666666666666666,0.0,0.0,1.0,9.224545262970129e-05,0.10884314914194243,True
0.014929438505439874,192.168.1.100,192.168.1.105,Modbus/TCP,0.2857142857142865,Query:,0.9110396570203644,0.0,0.5,Read Holding Registers,0.3815947242139975,0.0,0.0,0.8333333333333333,0.0,1.0,2.3036323675188442e-05,0.10521988172298076,True
0.014930699633883517,192.168.1.105,192.168.1.100,Modbus/TCP,1.0,Response:,0.9110396570203644,0.0,0.5,Read Holding Registers,0.3815947242139975,0.0,0.8333333333333333,0.0,0.0,1.0,8.463345002399614e-05,0.09810316973717698,True
0.014931111552759783,192.168.1.100,192.168.1.103,Modbus/TCP,0.2857142857142865,Query:,0.9224723115398357,0.0,0.5,Read Holding Registers,0.3663069544297674,0.0,0.0,0.5,0.0,1.0,2.7643588410154964e-05,0.09796063683955723,True
0.014932448796647953,192.168.1.103,192.168.1.100,Modbus/TCP,1.0,Response:,0.9224723115398357,0.0,0.5,Read Holding Registers,0.3663069544297674,0.0,0.5,0.0,0.0,1.0,8.974150440423403e-05,0.09899333413921847,True
0.014932863700443614,192.168.1.100,192.168.1.106,Modbus/TCP,0.2857142857142865,Query:,0.9274740978921043,0.0,0.5,Read Holding Registers,0.38758992805061643,0.0,0.0,1.0,0.0,1.0,2.7843904268227928e-05,0.099703522071308,True
0.014934094979693325,192.168.1.106,192.168.1.100,Modbus/TCP,1.0,Response:,0.9274740978921043,0.0,0.5,Read Holding Registers,0.38758992805061643,0.0,1.0,0.0,0.0,1.0,8.263029144362233e-05,0.10419329698356007,True
0.014934581521554422,192.168.1.100,192.168.1.101,Modbus/TCP,0.2857142857142865,Query:,0.9178277956413005,0.0,0.25,Read Discrete Inputs,0.3866906474752301,0.0,0.0,0.16666666666666666,0.0,1.0,3.265148486126742e-05,0.10404590269666082,True
0.014935817278183222,192.168.1.101,192.168.1.100,Modbus/TCP,0.0,Response:,0.9178277956413005,0.0,0.25,Read Discrete Inputs,0.3866906474752301,0.0,0.16666666666666666,0.0,0.0,1.0,8.293076523064282e-05,0.10504386113064923,True
0.014937667928207029,192.168.1.100,192.168.1.102,Modbus/TCP,0.2857142857142865,Query:,0.9271168274383708,0.0,0.5,Read Holding Registers,0.37799760191191967,0.0,0.0,0.3333333333333333,0.0,1.0,0.0001241958319878023,0.1072996358104893,True
